distance_km,duration_min,climatisation,depart,arrivee,jour_semaine,heure,prix
106,138,1,Ariana,Sfax,dimanche,09:00,47.21
293,346,1,Sfax,Nabeul,lundi,12:00,120.78
273,365,1,Ariana,Sousse,dimanche,15:00,116.35
182,161,1,Tunis,Nabeul,samedi,11:00,76.36
96,115,0,Tunis,Nabeul,samedi,11:00,43.99
161,132,1,Sfax,Sousse,vendredi,10:00,68.81
286,295,0,Sousse,Tunis,mercredi,11:00,113.38
220,263,1,Monastir,Tunis,samedi,11:00,93.16
60,54,0,Nabeul,Sousse,jeudi,09:00,25.58
17,16,1,Sousse,Nabeul,samedi,10:00,12.03
120,101,1,Sousse,Ariana,lundi,12:00,49.31
58,55,1,Nabeul,Ariana,lundi,10:00,25.42
87,73,0,Bizerte,Sfax,vendredi,17:00,40.22
275,351,1,Bizerte,Nabeul,samedi,16:00,118.86
267,310,0,Sfax,Ariana,vendredi,12:00,112.01
297,354,0,Monastir,Nabeul,mardi,17:00,126.89
19,19,1,Sousse,Nabeul,jeudi,18:00,12.36
133,137,1,Ariana,Bizerte,mercredi,19:00,55.7
287,276,1,Tunis,Sousse,mercredi,14:00,115.92
183,147,0,Nabeul,Ariana,lundi,11:00,70.98
131,168,0,Nabeul,Ariana,lundi,11:00,53.73
27,31,1,Tunis,Sousse,samedi,06:00,16.82
158,219,1,Tunis,Nabeul,vendredi,15:00,72.58
245,203,1,Ariana,Sousse,samedi,15:00,102.0
95,118,0,Nabeul,Tunis,mardi,18:00,43.01
292,402,0,Sousse,Tunis,dimanche,21:00,122.17
97,97,1,Bizerte,Sfax,jeudi,16:00,44.25
193,225,1,Sousse,Tunis,vendredi,06:00,85.41
28,24,1,Tunis,Monastir,dimanche,09:00,13.49
137,145,1,Tunis,Sousse,lundi,12:00,58.55
195,157,0,Monastir,Bizerte,jeudi,06:00,76.91
113,103,1,Nabeul,Ariana,jeudi,08:00,51.21
19,23,1,Ariana,Sousse,vendredi,12:00,11.01
121,153,1,Monastir,Sousse,lundi,18:00,56.67
95,124,1,Monastir,Ariana,mercredi,15:00,39.28
252,328,1,Monastir,Sfax,vendredi,10:00,107.94
220,307,1,Bizerte,Sfax,samedi,17:00,103.7
33,30,1,Monastir,Nabeul,lundi,10:00,13.17
239,250,1,Bizerte,Sfax,mardi,13:00,97.56
29,30,0,Bizerte,Sfax,samedi,10:00,14.03
13,14,0,Sousse,Monastir,mercredi,12:00,5.44
64,78,1,Sousse,Nabeul,dimanche,14:00,27.27
263,287,1,Ariana,Nabeul,samedi,11:00,110.46
69,68,0,Sousse,Tunis,mardi,12:00,28.79
220,183,0,Tunis,Nabeul,samedi,17:00,93.98
28,29,1,Sousse,Tunis,dimanche,15:00,12.51
192,238,0,Ariana,Tunis,dimanche,19:00,78.98
260,333,0,Sfax,Monastir,jeudi,17:00,111.47
127,150,0,Ariana,Bizerte,samedi,17:00,58.86
56,48,1,Tunis,Nabeul,dimanche,09:00,27.41
56,73,0,Sousse,Bizerte,lundi,21:00,23.71
147,147,0,Sousse,Tunis,vendredi,19:00,59.73
116,94,1,Nabeul,Sfax,dimanche,13:00,49.82
60,81,1,Tunis,Nabeul,mardi,13:00,28.15
44,46,0,Monastir,Ariana,mercredi,15:00,16.66
58,61,1,Sfax,Tunis,vendredi,13:00,25.01
270,330,1,Monastir,Tunis,mercredi,15:00,113.31
138,175,1,Sousse,Sfax,jeudi,15:00,58.48
191,178,1,Sfax,Monastir,lundi,18:00,82.34
161,174,0,Bizerte,Ariana,samedi,13:00,67.19
115,111,1,Monastir,Nabeul,vendredi,14:00,49.37
279,264,1,Nabeul,Monastir,dimanche,13:00,111.42
191,201,0,Ariana,Monastir,vendredi,07:00,83.11
93,108,0,Bizerte,Sfax,lundi,12:00,37.93
30,33,0,Sfax,Nabeul,mercredi,09:00,11.9
169,202,1,Sfax,Monastir,dimanche,10:00,71.42
152,202,0,Tunis,Nabeul,lundi,12:00,63.14
151,187,1,Ariana,Monastir,mercredi,06:00,63.29
30,28,0,Sousse,Tunis,lundi,06:00,10.64
170,151,1,Tunis,Nabeul,mardi,17:00,73.97
95,107,0,Sousse,Sfax,mercredi,09:00,40.12
95,107,1,Sousse,Sfax,mardi,13:00,37.17
207,270,1,Bizerte,Nabeul,jeudi,14:00,88.6
107,140,0,Tunis,Sfax,dimanche,08:00,49.81
134,167,1,Sousse,Monastir,samedi,12:00,60.28
68,73,1,Nabeul,Sfax,samedi,06:00,31.36
252,320,1,Sfax,Sousse,jeudi,15:00,107.46
163,162,1,Sfax,Tunis,dimanche,13:00,66.61
223,180,1,Monastir,Sfax,lundi,20:00,88.51
177,246,1,Monastir,Sousse,mardi,20:00,77.02
75,62,1,Sousse,Tunis,jeudi,17:00,33.43
51,56,1,Monastir,Sousse,samedi,16:00,24.27
176,210,0,Ariana,Nabeul,lundi,12:00,70.88
206,284,1,Ariana,Nabeul,samedi,11:00,90.99
277,308,1,Monastir,Sousse,jeudi,10:00,116.26
94,92,0,Bizerte,Sousse,dimanche,18:00,40.44
56,51,1,Monastir,Ariana,dimanche,08:00,26.32
277,249,1,Bizerte,Nabeul,dimanche,11:00,111.58
268,358,0,Bizerte,Ariana,mercredi,20:00,110.88
110,136,1,Sfax,Nabeul,samedi,16:00,49.53
116,114,1,Bizerte,Sousse,mercredi,20:00,47.2
41,35,0,Tunis,Monastir,samedi,14:00,19.41
25,34,0,Sousse,Bizerte,jeudi,06:00,8.86
111,154,0,Sfax,Bizerte,dimanche,15:00,47.19
256,224,0,Sfax,Sousse,dimanche,18:00,106.58
290,375,1,Bizerte,Sousse,samedi,10:00,129.13
142,196,1,Nabeul,Ariana,mardi,17:00,65.91
143,175,1,Tunis,Monastir,lundi,20:00,61.26
222,211,1,Ariana,Tunis,dimanche,10:00,89.5
286,248,1,Ariana,Sfax,mercredi,09:00,115.99
199,245,0,Bizerte,Sfax,vendredi,18:00,88.31
84,100,1,Nabeul,Ariana,jeudi,19:00,35.02
159,197,1,Monastir,Tunis,jeudi,13:00,68.11
298,260,1,Sousse,Nabeul,mercredi,08:00,123.26
75,74,1,Bizerte,Monastir,dimanche,21:00,31.35
256,247,0,Tunis,Sfax,dimanche,16:00,102.74
76,92,0,Sfax,Bizerte,lundi,10:00,30.31
30,24,0,Nabeul,Tunis,samedi,17:00,16.88
151,202,0,Ariana,Monastir,lundi,17:00,68.04
216,206,0,Ariana,Bizerte,mardi,13:00,86.9
143,171,0,Ariana,Sfax,mardi,13:00,58.03
55,59,1,Bizerte,Tunis,dimanche,18:00,26.49
199,204,1,Nabeul,Sousse,vendredi,10:00,84.7
290,305,1,Sfax,Bizerte,mardi,20:00,120.87
163,224,1,Monastir,Ariana,samedi,20:00,72.6
284,364,1,Nabeul,Tunis,samedi,17:00,127.73
182,250,0,Ariana,Monastir,lundi,07:00,83.26
130,125,0,Sfax,Sousse,lundi,09:00,53.16
129,157,0,Ariana,Bizerte,mardi,16:00,52.82
274,221,1,Tunis,Monastir,lundi,12:00,108.62
98,126,0,Bizerte,Sousse,samedi,07:00,46.02
231,267,0,Tunis,Nabeul,dimanche,10:00,92.6
77,102,1,Sfax,Monastir,samedi,09:00,38.48
129,117,0,Monastir,Bizerte,samedi,10:00,56.57
25,23,0,Sfax,Bizerte,mercredi,07:00,13.06
276,385,1,Sfax,Bizerte,dimanche,20:00,115.31
264,315,1,Sfax,Sousse,mardi,10:00,110.67
210,282,1,Sfax,Bizerte,samedi,15:00,94.35
44,57,1,Tunis,Ariana,lundi,15:00,19.47
85,91,0,Monastir,Sousse,dimanche,11:00,34.66
156,208,0,Nabeul,Sfax,mercredi,07:00,71.15
188,177,0,Sfax,Sousse,jeudi,06:00,74.24
37,34,1,Nabeul,Ariana,mercredi,17:00,23.91
203,195,0,Sousse,Monastir,lundi,08:00,84.54
266,255,1,Tunis,Sfax,mercredi,07:00,111.69
70,75,1,Tunis,Sousse,lundi,19:00,29.97
292,258,1,Bizerte,Monastir,vendredi,12:00,116.35
118,128,1,Nabeul,Tunis,vendredi,14:00,50.4
151,176,0,Sfax,Ariana,lundi,06:00,65.38
198,159,1,Monastir,Sousse,vendredi,11:00,81.2
199,258,1,Nabeul,Bizerte,mercredi,12:00,84.09
254,290,1,Monastir,Ariana,dimanche,10:00,104.27
115,112,1,Sfax,Bizerte,mercredi,17:00,53.09
50,64,0,Bizerte,Sousse,vendredi,21:00,22.83
68,75,0,Sousse,Nabeul,vendredi,12:00,30.45
136,131,0,Nabeul,Tunis,samedi,13:00,56.26
177,186,1,Tunis,Bizerte,lundi,14:00,73.77
118,137,1,Nabeul,Bizerte,mardi,15:00,51.3
99,135,1,Ariana,Tunis,mercredi,21:00,44.43
183,152,0,Ariana,Nabeul,mardi,16:00,72.28
224,184,1,Sfax,Nabeul,samedi,16:00,91.54
170,182,1,Ariana,Monastir,jeudi,19:00,71.11
156,180,1,Bizerte,Sousse,lundi,11:00,65.4
252,255,0,Ariana,Monastir,samedi,08:00,108.07
267,320,0,Tunis,Sousse,samedi,15:00,113.66
275,302,0,Sousse,Sfax,lundi,11:00,111.81
127,110,0,Ariana,Tunis,vendredi,20:00,53.52
164,204,0,Sousse,Sfax,lundi,10:00,68.55
175,227,1,Sousse,Ariana,jeudi,14:00,72.05
222,285,0,Sfax,Bizerte,vendredi,13:00,93.98
232,250,1,Ariana,Tunis,jeudi,14:00,97.15
116,122,0,Sousse,Bizerte,mercredi,18:00,51.34
82,80,1,Nabeul,Sfax,vendredi,08:00,39.59
297,384,1,Nabeul,Sfax,mardi,10:00,125.85
181,244,0,Bizerte,Nabeul,dimanche,07:00,79.43
176,194,1,Tunis,Ariana,lundi,17:00,76.78
16,14,1,Nabeul,Tunis,lundi,08:00,12.64
135,156,0,Sfax,Tunis,vendredi,14:00,54.88
73,84,1,Monastir,Bizerte,jeudi,20:00,32.16
40,48,0,Ariana,Sousse,dimanche,06:00,18.14
76,104,1,Sousse,Sfax,mercredi,18:00,37.63
243,252,1,Monastir,Sfax,lundi,16:00,99.41
134,144,1,Sousse,Sfax,mercredi,14:00,56.17
46,63,0,Sousse,Tunis,mardi,12:00,19.17
44,58,1,Nabeul,Bizerte,mardi,06:00,20.32
294,286,0,Ariana,Bizerte,mercredi,18:00,121.43
135,139,0,Sfax,Monastir,mardi,15:00,54.17
171,154,0,Tunis,Ariana,samedi,21:00,71.15
51,66,0,Tunis,Nabeul,mercredi,06:00,19.26
148,167,0,Monastir,Sfax,lundi,08:00,62.85
101,116,0,Ariana,Sfax,mercredi,14:00,44.26
148,136,0,Tunis,Monastir,dimanche,10:00,57.22
282,349,1,Bizerte,Sfax,dimanche,18:00,123.8
259,278,0,Ariana,Sousse,samedi,10:00,110.49
17,14,0,Monastir,Bizerte,lundi,17:00,11.44
73,84,1,Monastir,Tunis,mercredi,13:00,32.16
276,279,0,Bizerte,Monastir,lundi,06:00,110.01
193,186,1,Sousse,Sfax,dimanche,07:00,83.27
21,29,0,Nabeul,Ariana,mercredi,13:00,9.37
245,306,1,Tunis,Sfax,mercredi,10:00,103.01
192,196,1,Monastir,Sousse,mercredi,07:00,87.01
212,286,0,Nabeul,Sfax,jeudi,09:00,89.94
251,310,0,Bizerte,Nabeul,mardi,13:00,103.27
184,231,1,Bizerte,Nabeul,jeudi,11:00,78.38
172,158,0,Sousse,Sfax,vendredi,16:00,69.02
156,153,0,Tunis,Sfax,vendredi,10:00,66.69
22,30,0,Sousse,Monastir,mardi,14:00,12.14
180,238,1,Bizerte,Sfax,lundi,12:00,76.54
135,160,1,Tunis,Monastir,jeudi,18:00,60.31
193,215,1,Sousse,Monastir,vendredi,08:00,88.59
172,240,1,Tunis,Nabeul,mercredi,14:00,76.01
46,36,1,Tunis,Sfax,mardi,08:00,21.74
197,235,0,Monastir,Sousse,mardi,21:00,81.22
200,170,0,Sousse,Bizerte,vendredi,09:00,82.51
299,253,1,Tunis,Sfax,dimanche,10:00,120.01
197,225,1,Sousse,Tunis,samedi,08:00,86.42
299,240,0,Sfax,Bizerte,jeudi,19:00,113.81
154,169,1,Sfax,Ariana,mardi,17:00,68.67
153,166,1,Monastir,Tunis,dimanche,16:00,63.61
120,111,1,Tunis,Ariana,mercredi,17:00,52.49
224,304,1,Sousse,Sfax,samedi,09:00,100.33
242,225,0,Tunis,Bizerte,dimanche,19:00,96.37
30,27,0,Ariana,Sfax,mercredi,06:00,10.57
192,211,1,Bizerte,Tunis,dimanche,08:00,84.25
83,95,1,Ariana,Nabeul,lundi,10:00,38.88
23,24,1,Sousse,Tunis,vendredi,12:00,15.48
62,79,1,Bizerte,Ariana,lundi,17:00,30.14
68,86,1,Ariana,Bizerte,samedi,07:00,37.35
21,23,1,Bizerte,Nabeul,jeudi,12:00,9.05
58,57,0,Nabeul,Ariana,lundi,21:00,24.55
250,276,1,Monastir,Nabeul,jeudi,11:00,104.34
218,182,1,Ariana,Sousse,samedi,17:00,96.79
273,219,0,Tunis,Monastir,samedi,12:00,109.78
171,168,1,Sousse,Ariana,dimanche,17:00,72.67
150,158,1,Tunis,Monastir,samedi,14:00,65.99
195,160,0,Bizerte,Tunis,dimanche,06:00,76.1
226,276,1,Tunis,Monastir,jeudi,12:00,94.28
244,292,0,Sousse,Ariana,mardi,18:00,103.09
33,41,0,Nabeul,Ariana,samedi,20:00,17.2
210,181,0,Ariana,Bizerte,mardi,06:00,82.79
220,261,1,Monastir,Nabeul,mercredi,09:00,92.04
37,48,0,Bizerte,Ariana,lundi,15:00,13.89
155,183,0,Tunis,Sfax,lundi,14:00,62.64
22,23,0,Sousse,Monastir,lundi,16:00,8.63
109,142,1,Tunis,Monastir,mardi,16:00,48.65
109,131,0,Ariana,Nabeul,vendredi,11:00,47.21
246,240,1,Nabeul,Ariana,dimanche,18:00,104.31
74,98,1,Sfax,Nabeul,mercredi,17:00,36.29
244,249,0,Tunis,Monastir,mercredi,20:00,98.62
62,59,0,Monastir,Sousse,vendredi,16:00,28.53
83,67,0,Sfax,Monastir,vendredi,07:00,39.66
172,188,0,Tunis,Bizerte,vendredi,07:00,76.72
111,124,1,Tunis,Monastir,jeudi,19:00,48.42
237,195,1,Sfax,Sousse,mardi,09:00,93.28
239,300,0,Tunis,Sfax,dimanche,15:00,99.72
113,99,1,Sfax,Bizerte,jeudi,11:00,47.58
292,334,1,Sousse,Monastir,mercredi,07:00,125.91
171,155,0,Sousse,Sfax,mardi,16:00,68.49
233,227,0,Sousse,Sfax,dimanche,12:00,91.63
135,154,1,Ariana,Sfax,jeudi,21:00,58.05
52,62,0,Ariana,Sousse,vendredi,15:00,25.31
54,56,1,Sousse,Nabeul,vendredi,16:00,27.72
113,94,0,Tunis,Sfax,samedi,09:00,47.48
214,267,0,Sousse,Ariana,lundi,19:00,89.2
227,260,1,Tunis,Ariana,samedi,13:00,97.48
152,172,1,Bizerte,Sfax,samedi,06:00,67.15
242,223,1,Monastir,Bizerte,samedi,11:00,100.29
35,45,0,Monastir,Sousse,mardi,11:00,14.02
276,383,1,Tunis,Ariana,lundi,07:00,119.8
58,79,1,Sfax,Ariana,lundi,15:00,28.62
225,277,0,Ariana,Nabeul,mercredi,20:00,93.1
251,304,1,Tunis,Ariana,samedi,19:00,108.98
14,15,0,Tunis,Sfax,mardi,06:00,5.0
235,222,0,Tunis,Monastir,vendredi,06:00,96.12
131,158,0,Sousse,Monastir,vendredi,08:00,61.73
219,247,1,Ariana,Sousse,lundi,17:00,95.28
232,191,1,Sousse,Nabeul,lundi,15:00,92.66
244,293,0,Ariana,Tunis,mardi,10:00,101.73
249,347,1,Sfax,Nabeul,jeudi,11:00,105.86
79,68,1,Sfax,Monastir,lundi,18:00,37.93
261,364,1,Nabeul,Monastir,vendredi,17:00,118.6
148,159,1,Nabeul,Ariana,mardi,18:00,66.69
28,25,1,Nabeul,Tunis,jeudi,10:00,13.29
269,349,0,Nabeul,Ariana,mercredi,13:00,111.66
68,68,0,Tunis,Nabeul,mercredi,07:00,31.24
256,265,1,Monastir,Nabeul,vendredi,21:00,108.71
17,21,1,Nabeul,Tunis,lundi,12:00,10.08
48,60,1,Tunis,Sfax,jeudi,09:00,19.86
97,122,0,Sfax,Ariana,jeudi,19:00,39.58
83,105,1,Monastir,Bizerte,samedi,16:00,39.3
165,154,0,Sousse,Tunis,dimanche,15:00,65.54
100,95,0,Sousse,Sfax,mercredi,12:00,37.77
150,120,1,Nabeul,Bizerte,dimanche,14:00,59.36
164,225,0,Sfax,Monastir,mercredi,06:00,66.3
169,187,0,Monastir,Sousse,lundi,06:00,66.48
126,103,0,Nabeul,Bizerte,jeudi,20:00,46.85
122,130,1,Bizerte,Tunis,dimanche,08:00,56.99
125,128,0,Tunis,Monastir,vendredi,19:00,52.26
100,104,0,Tunis,Monastir,jeudi,21:00,39.13
125,102,0,Sfax,Bizerte,mardi,11:00,47.95
212,265,0,Monastir,Tunis,mardi,15:00,86.84
230,243,1,Sousse,Ariana,samedi,18:00,102.68
148,168,0,Nabeul,Ariana,mardi,07:00,66.63
118,119,0,Bizerte,Ariana,mardi,13:00,47.41
163,217,0,Nabeul,Monastir,lundi,11:00,68.89
93,102,1,Bizerte,Nabeul,mardi,16:00,40.46
118,136,0,Bizerte,Ariana,samedi,09:00,52.22
55,50,0,Ariana,Monastir,mardi,17:00,23.31
280,371,0,Sfax,Ariana,vendredi,13:00,121.45
49,40,1,Monastir,Sfax,jeudi,14:00,20.6
33,33,1,Monastir,Sousse,lundi,10:00,12.53
288,391,0,Tunis,Monastir,vendredi,18:00,127.83
263,296,0,Sousse,Monastir,dimanche,13:00,105.84
147,135,0,Nabeul,Monastir,mardi,19:00,58.25
94,92,0,Bizerte,Ariana,dimanche,19:00,36.61
248,260,0,Nabeul,Ariana,lundi,17:00,102.35
39,38,0,Sousse,Monastir,mardi,19:00,14.27
194,198,0,Nabeul,Tunis,samedi,07:00,83.41
56,71,0,Sfax,Bizerte,dimanche,14:00,24.21
158,140,1,Monastir,Sousse,samedi,20:00,66.17
68,71,1,Monastir,Bizerte,samedi,16:00,31.1
264,293,0,Monastir,Tunis,dimanche,15:00,107.83
148,174,1,Ariana,Nabeul,jeudi,16:00,63.48
120,147,0,Tunis,Sfax,lundi,06:00,47.1
111,140,0,Tunis,Sfax,lundi,16:00,42.39
97,86,0,Ariana,Bizerte,jeudi,12:00,38.49
105,90,1,Bizerte,Sousse,lundi,07:00,47.6
176,230,0,Sousse,Ariana,mercredi,18:00,77.85
90,73,0,Bizerte,Nabeul,samedi,12:00,37.31
271,324,0,Ariana,Bizerte,samedi,21:00,112.4
12,10,0,Sousse,Ariana,mercredi,15:00,5.39
192,216,0,Bizerte,Tunis,jeudi,06:00,80.51
280,309,1,Ariana,Bizerte,vendredi,14:00,117.38
52,67,1,Monastir,Ariana,vendredi,21:00,28.72
87,106,1,Nabeul,Tunis,lundi,10:00,37.83
177,147,0,Monastir,Bizerte,mercredi,16:00,73.69
292,318,1,Monastir,Sousse,dimanche,08:00,124.84
156,161,0,Ariana,Bizerte,mercredi,15:00,61.86
52,68,1,Sousse,Monastir,samedi,18:00,32.18
11,14,0,Sfax,Ariana,mardi,20:00,6.79
16,15,0,Sousse,Nabeul,samedi,11:00,11.17
92,108,1,Nabeul,Sousse,mercredi,10:00,39.99
133,121,1,Monastir,Ariana,lundi,12:00,53.1
292,305,1,Tunis,Nabeul,vendredi,09:00,120.8
106,112,1,Sfax,Ariana,mardi,13:00,43.67
68,68,1,Tunis,Monastir,mardi,08:00,32.97
28,33,0,Ariana,Sousse,dimanche,18:00,15.22
298,353,1,Sousse,Bizerte,mercredi,14:00,123.13
88,76,0,Ariana,Bizerte,mercredi,11:00,36.88
257,358,1,Tunis,Nabeul,samedi,20:00,112.11
211,284,1,Tunis,Sousse,vendredi,08:00,97.1
26,22,1,Sousse,Nabeul,samedi,07:00,18.06
178,221,1,Sfax,Tunis,mercredi,11:00,73.33
186,193,0,Ariana,Nabeul,dimanche,11:00,75.31
275,305,0,Bizerte,Tunis,jeudi,21:00,110.12
83,100,1,Sousse,Ariana,vendredi,20:00,37.54
228,192,1,Sousse,Monastir,mercredi,17:00,95.23
157,182,1,Nabeul,Bizerte,samedi,06:00,67.97
299,365,1,Sfax,Bizerte,lundi,20:00,126.12
57,65,0,Sousse,Bizerte,mardi,17:00,25.48
109,103,1,Tunis,Bizerte,dimanche,18:00,48.98
287,337,1,Sfax,Bizerte,dimanche,07:00,123.72
34,28,0,Monastir,Bizerte,lundi,11:00,13.37
146,156,0,Sfax,Ariana,samedi,07:00,65.52
147,152,0,Sfax,Monastir,lundi,18:00,65.19
271,375,0,Ariana,Nabeul,dimanche,20:00,114.65
292,309,0,Ariana,Nabeul,samedi,17:00,125.18
141,149,0,Tunis,Sousse,vendredi,08:00,64.25
257,240,0,Tunis,Bizerte,mardi,17:00,104.01
221,203,0,Sousse,Bizerte,mercredi,16:00,88.53
254,336,1,Sfax,Ariana,jeudi,21:00,106.24
170,204,1,Nabeul,Sousse,mardi,21:00,68.88
103,141,1,Ariana,Sfax,jeudi,16:00,44.69
173,235,0,Ariana,Sfax,mardi,19:00,73.64
183,190,1,Ariana,Bizerte,jeudi,14:00,76.85
247,240,1,Sfax,Ariana,dimanche,12:00,101.78
218,294,1,Bizerte,Monastir,jeudi,18:00,96.11
293,395,0,Ariana,Bizerte,samedi,15:00,126.91
146,119,0,Sfax,Tunis,samedi,17:00,67.26
132,161,1,Sfax,Tunis,mercredi,14:00,55.12
177,188,1,Tunis,Bizerte,vendredi,16:00,76.92
27,34,1,Tunis,Bizerte,dimanche,19:00,12.43
148,171,0,Monastir,Bizerte,lundi,11:00,60.39
70,75,1,Sousse,Tunis,lundi,07:00,31.37
216,209,0,Sfax,Bizerte,vendredi,06:00,91.67
111,99,1,Sfax,Bizerte,mardi,11:00,44.27
142,180,1,Bizerte,Tunis,lundi,15:00,61.89
118,152,0,Tunis,Ariana,lundi,21:00,49.41
78,62,1,Ariana,Sousse,mercredi,08:00,36.55
32,30,0,Tunis,Ariana,jeudi,21:00,10.21
61,80,0,Ariana,Sousse,samedi,16:00,29.17
45,53,0,Tunis,Sfax,jeudi,13:00,18.02
106,105,0,Nabeul,Ariana,vendredi,14:00,46.95
44,44,0,Sfax,Ariana,lundi,07:00,18.39
127,162,0,Bizerte,Tunis,dimanche,08:00,56.81
223,217,0,Sousse,Ariana,lundi,18:00,93.15
174,182,1,Sfax,Bizerte,samedi,11:00,73.44
54,48,1,Bizerte,Nabeul,mercredi,21:00,24.42
94,115,1,Sousse,Tunis,vendredi,17:00,46.64
255,216,0,Sfax,Bizerte,dimanche,16:00,101.49
135,121,1,Ariana,Nabeul,vendredi,07:00,63.98
171,190,1,Nabeul,Sfax,dimanche,18:00,78.1
20,18,0,Bizerte,Nabeul,mardi,11:00,6.68
127,118,1,Sousse,Nabeul,dimanche,11:00,51.0
161,188,0,Ariana,Bizerte,mardi,15:00,68.0
28,33,1,Monastir,Bizerte,mercredi,20:00,12.7
184,230,0,Sfax,Sousse,dimanche,08:00,75.95
255,292,0,Monastir,Nabeul,dimanche,14:00,103.86
248,215,0,Sfax,Monastir,lundi,20:00,98.69
137,190,0,Ariana,Sfax,mardi,17:00,61.44
80,69,1,Sfax,Monastir,vendredi,17:00,40.25
112,117,0,Nabeul,Bizerte,vendredi,17:00,52.32
71,90,0,Sfax,Nabeul,dimanche,09:00,27.99
38,44,1,Ariana,Bizerte,mercredi,18:00,24.06
291,277,0,Sousse,Ariana,vendredi,08:00,124.07
102,131,1,Tunis,Monastir,lundi,07:00,49.86
127,161,1,Sousse,Bizerte,vendredi,17:00,63.5
280,302,0,Ariana,Tunis,dimanche,17:00,117.17
39,46,1,Bizerte,Nabeul,jeudi,12:00,17.89
233,192,1,Tunis,Bizerte,dimanche,18:00,97.24
213,193,1,Sousse,Tunis,jeudi,14:00,85.29
54,75,1,Nabeul,Bizerte,jeudi,16:00,24.97
230,261,0,Sfax,Monastir,lundi,13:00,92.42
215,220,0,Monastir,Nabeul,jeudi,21:00,86.11
71,72,1,Nabeul,Bizerte,mardi,18:00,35.8
116,157,1,Tunis,Sousse,vendredi,10:00,55.36
244,316,1,Tunis,Bizerte,samedi,08:00,109.9
133,114,1,Sfax,Bizerte,lundi,12:00,54.24
216,179,1,Tunis,Sousse,dimanche,10:00,87.24
218,176,0,Ariana,Nabeul,dimanche,13:00,87.28
201,246,0,Tunis,Sousse,mardi,12:00,81.99
229,236,1,Tunis,Sousse,samedi,14:00,96.23
224,260,0,Bizerte,Nabeul,samedi,09:00,95.58
254,299,1,Ariana,Sousse,jeudi,21:00,106.32
179,187,0,Ariana,Tunis,mercredi,16:00,70.73
68,61,0,Tunis,Ariana,mardi,18:00,29.87
103,136,1,Nabeul,Sousse,samedi,06:00,45.79
90,103,1,Ariana,Tunis,lundi,09:00,38.7
288,344,1,Nabeul,Tunis,lundi,08:00,126.33
248,293,0,Bizerte,Sfax,vendredi,11:00,101.2
231,215,1,Tunis,Sousse,lundi,20:00,92.37
119,110,1,Nabeul,Sousse,dimanche,17:00,52.24
287,240,0,Nabeul,Sousse,vendredi,15:00,116.28
288,400,1,Tunis,Bizerte,samedi,19:00,126.74
213,189,1,Ariana,Sfax,lundi,06:00,86.52
129,169,1,Monastir,Tunis,samedi,13:00,56.25
226,302,0,Monastir,Bizerte,jeudi,19:00,96.79
113,135,1,Nabeul,Tunis,jeudi,08:00,52.46
267,333,0,Sousse,Monastir,mercredi,06:00,109.04
185,239,1,Nabeul,Sousse,lundi,12:00,78.89
296,379,0,Sousse,Tunis,vendredi,16:00,124.02
196,256,1,Ariana,Sousse,vendredi,19:00,86.03
95,76,1,Nabeul,Sfax,vendredi,08:00,46.41
192,250,0,Bizerte,Tunis,lundi,11:00,80.43
12,14,0,Ariana,Monastir,mercredi,11:00,5.0
77,107,0,Sfax,Tunis,vendredi,12:00,33.09
28,29,1,Ariana,Tunis,vendredi,08:00,20.6
57,66,1,Sfax,Nabeul,lundi,14:00,23.64
148,200,0,Tunis,Bizerte,dimanche,17:00,68.08
60,63,1,Sousse,Sfax,jeudi,17:00,32.18
255,327,1,Tunis,Monastir,lundi,19:00,107.61
297,318,1,Sfax,Sousse,samedi,20:00,125.92
164,197,1,Sousse,Bizerte,vendredi,06:00,71.47
68,82,0,Bizerte,Monastir,jeudi,09:00,28.13
191,184,0,Tunis,Sousse,vendredi,19:00,80.18
202,183,1,Sousse,Nabeul,mardi,14:00,82.75
223,255,0,Sfax,Ariana,samedi,16:00,93.3
121,98,0,Tunis,Nabeul,mercredi,19:00,47.76
52,55,1,Sousse,Tunis,dimanche,12:00,21.48
103,136,1,Sfax,Tunis,vendredi,18:00,56.44
239,283,1,Sousse,Bizerte,mercredi,15:00,102.43
159,194,0,Monastir,Ariana,samedi,18:00,74.71
218,253,1,Tunis,Monastir,lundi,13:00,92.17
244,226,0,Ariana,Sfax,mercredi,19:00,95.08
248,300,0,Ariana,Nabeul,jeudi,18:00,104.46
82,114,1,Nabeul,Tunis,samedi,09:00,40.89
243,295,0,Bizerte,Sousse,lundi,18:00,103.75
104,131,1,Ariana,Monastir,mercredi,17:00,49.63
285,287,0,Tunis,Bizerte,dimanche,12:00,113.79
80,74,1,Sfax,Sousse,samedi,15:00,35.58
260,281,1,Monastir,Ariana,mardi,16:00,108.9
135,121,1,Nabeul,Sfax,vendredi,10:00,54.49
245,236,1,Sfax,Nabeul,mardi,16:00,100.36
102,95,1,Nabeul,Sousse,lundi,19:00,40.62
147,140,0,Monastir,Bizerte,dimanche,18:00,60.42
45,41,1,Sfax,Ariana,mercredi,20:00,18.3
13,11,1,Tunis,Sousse,vendredi,17:00,13.37
40,39,1,Sousse,Tunis,mardi,14:00,17.53
105,93,1,Bizerte,Sousse,dimanche,11:00,43.68
