id_offre;titre;description;domaine;lieu;remuneration;duree;etat;visibilite;has_image;date_publication;description_length;titre_length;nb_postulations;nb_postulations_acceptees;nb_postulations_refusees;nb_favoris;has_entretien
1024;Stage motion designer vidéo et animation - Figma / santé (Bizerte #1024);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 2 semaines, basé à Bizerte, sur une plateforme e-commerce. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: préparer des assets pour le web et le print, réaliser des animations courtes pour vidéos et stories, créer des visuels pour les réseaux sociaux et campagnes. Compétences attendues: Maîtrise de Figma et des bases de la conception UI/UX. Bonne connaissance de Photoshop/Illustrator ou équivalents. Cadre de travail: méthode OKR, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1317 DT. Référence offre: TN-INT-1024. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Design;Bizerte;1317;2;disponible;0;1;2025-10-12;900;72;27;5;7;67;0
1025;Stage assistant brand manager - B2B / industrie (Remote #1025);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 12 semaines, basé à Remote, sur une plateforme e-commerce. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: tester des messages et visuels via A/B testing, réaliser une étude de marché et des personas, planifier et publier du contenu sur les réseaux sociaux, lancer et optimiser des campagnes Facebook Ads et Google Ads. Compétences attendues: Aisance rédactionnelle et sens de la communication. Notions de SEO/SEA et capacité à interpréter des KPIs. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous apprendrez à construire des messages, segmenter l'audience et interpréter les données de performance pour améliorer le ROI. Rémunération prévue: 1133 DT. Référence offre: TN-INT-1025. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Marketing;Remote;1133;12;disponible;1;1;2025-09-05;953;62;9;1;1;15;1
1026;Stage ingénieur maintenance - Kubernetes / énergie (Ariana #1026);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 3 semaines, basé à Ariana, sur un tableau de bord KPI multi-sites. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: participer à la conception et au dimensionnement de pièces/systèmes, suivre des essais, mesures et rédaction de rapports techniques, mettre en place des démarches qualité et plans de contrôle, participer à un projet d'optimisation énergétique. Compétences attendues: CAO/DAO (SolidWorks/AutoCAD) est un plus. Bases solides en mécanique/électrique/industriel selon profil. Cadre de travail: méthode OKR, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1804 DT. Référence offre: TN-INT-1026. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Ingénierie;Ariana;1804;3;disponible;1;1;2024-09-04;971;65;35;12;10;83;1
1027;Stage Data Analyst Python/SQL - Power BI / éducation (Sousse #1027);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 2 semaines, basé à Sousse, sur un pilote d'automatisation de process. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: contribuer à un module d'authentification et gestion des rôles, implémenter de nouvelles fonctionnalités sur une application web, concevoir des scripts d'automatisation et de monitoring. Compétences attendues: Une expérience avec Docker ou Linux est un plus. Bonne maîtrise de Python et des bases web (HTTP, REST). Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1800 DT. Référence offre: TN-INT-1027. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Informatique;Sousse;1800;2;disponible;0;1;2024-08-09;961;67;47;14;10;85;0
1028;Stage designer graphique print et digital - Print / banque / groupe (Bizerte #1028);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 13 semaines, basé à Bizerte, sur une refonte de site vitrine orientée conversion. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: produire un mini design system (typo, couleurs, composants), collaborer avec les développeurs pour l'intégration, décliner une identité visuelle sur différents supports, réaliser des animations courtes pour vidéos et stories. Compétences attendues: Capacité à itérer rapidement à partir de feedback. Bonne connaissance de Photoshop/Illustrator ou équivalents. Cadre de travail: méthode Lean, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1400 DT. Référence offre: TN-INT-1028. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Design;Bizerte;1400;13;indisponible;1;1;2024-01-16;988;83;24;8;5;59;0
1029;Stage ingénieur IoT et capteurs - GitHub / banque (Tunis #1029);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 1 semaines, basé à Tunis, sur un module de réservation et paiement. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: assister l'équipe production sur l'amélioration des process, modéliser des solutions sur logiciel CAO/DAO, participer à la conception et au dimensionnement de pièces/systèmes. Compétences attendues: CAO/DAO (SolidWorks/AutoCAD) est un plus. Capacité à analyser des données de tests et à documenter. Cadre de travail: méthode Agile, échanges en anglais, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1493 DT. Référence offre: TN-INT-1029. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Ingénierie;Tunis;1493;1;disponible;1;1;2024-10-25;924;63;21;5;2;31;1
1030;Stage développeur backend Python - Tableau / assurance (Sfax #1030);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 47 semaines, basé à Sfax, sur un projet client à livrer en itérations. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: améliorer les performances et la qualité du code (tests, refactor), concevoir des scripts d'automatisation et de monitoring, analyser des données et produire des tableaux de bord, développer des API REST et intégrer des services externes. Compétences attendues: Connaissance d'un framework (Django/FastAPI) et de SQL. Une expérience avec Docker ou Linux est un plus. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1783 DT. Référence offre: TN-INT-1030. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Informatique;Sfax;1783;47;disponible;0;1;2024-01-18;1015;67;36;10;6;61;0
1031;Stage web designer WordPress/Elementor - UX / banque (Ariana #1031);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 10 semaines, basé à Ariana, sur un pilote d'automatisation de process. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: collaborer avec les développeurs pour l'intégration, créer des visuels pour les réseaux sociaux et campagnes, préparer des assets pour le web et le print. Compétences attendues: Maîtrise de Figma et des bases de la conception UI/UX. Bonne connaissance de Photoshop/Illustrator ou équivalents. Cadre de travail: méthode Kanban, échanges en français, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1265 DT. Référence offre: TN-INT-1031. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Design;Ariana;1265;10;indisponible;1;1;2024-01-26;932;67;23;7;6;43;0
1032;Stage RH data & reporting - Reporting / industrie / industrie (Bizerte #1032);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 4 semaines, basé à Bizerte, sur un pilote d'automatisation de process. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: suivre des indicateurs RH et produire des tableaux de bord, assister les managers sur les besoins en recrutement, contribuer à la préparation de la paie (données variables), mettre à jour la base RH et les dossiers administratifs. Compétences attendues: Capacité à gérer plusieurs sujets en parallèle. Bon relationnel, organisation et discrétion. Cadre de travail: méthode Kanban, échanges en anglais, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1184 DT. Référence offre: TN-INT-1032. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;RH;Bizerte;1184;4;indisponible;1;0;2025-08-05;973;77;18;6;2;41;1
1033;Stage gestion de trésorerie - Photoshop / retail (Ariana #1033);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 18 semaines, basé à Ariana, sur un module de réservation et paiement. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: contribuer à des missions d'audit et de contrôle interne, aider à la préparation des déclarations et dossiers, assister à la clôture mensuelle et à la documentation, automatiser des reportings sur Excel/Power BI. Compétences attendues: Bonne maîtrise d'Excel et rigueur sur les chiffres. Connaissance des bases comptables et du reporting. Cadre de travail: méthode OKR, échanges en français, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1700 DT. Référence offre: TN-INT-1033. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Finance;Ariana;1700;18;disponible;0;1;2024-12-12;978;63;44;17;3;97;0
1034;Stage vente et relation client - B2C / retail (Tunis #1034);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 5 semaines, basé à Tunis, sur un module de réservation et paiement. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: prospecter des entreprises et qualifier des leads, réaliser des démonstrations produit avec l'équipe, participer à des salons et rendez-vous clients. Compétences attendues: Sens de la négociation et orientation résultats. Maîtrise du français, l'anglais est un plus. Cadre de travail: méthode Agile, échanges en anglais, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 1097 DT. Référence offre: TN-INT-1034. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Commerce;Tunis;1097;5;disponible;0;1;2025-07-10;852;59;12;3;3;26;0
1035;Stage finance d'entreprise - Tableau (Bizerte #1035);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 8 semaines, basé à Bizerte, sur une refonte de site vitrine orientée conversion. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: assister à la clôture mensuelle et à la documentation, contribuer à des missions d'audit et de contrôle interne, préparer des rapprochements bancaires et états financiers. Compétences attendues: Bonne maîtrise d'Excel et rigueur sur les chiffres. Connaissance des bases comptables et du reporting. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1263 DT. Référence offre: TN-INT-1035. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Finance;Bizerte;1263;8;disponible;0;1;2024-09-02;935;52;15;5;2;31;1
1036;Stage recrutement et sélection - Talent / énergie (Tunis #1036);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 26 semaines, basé à Tunis, sur une application de gestion interne. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: contribuer à la préparation de la paie (données variables), participer à la mise en place d'un plan de formation, sourcer des candidats et organiser des entretiens de présélection. Compétences attendues: Aisance sur Excel et outils bureautiques. Capacité à gérer plusieurs sujets en parallèle. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1300 DT. Référence offre: TN-INT-1036. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;RH;Tunis;1300;26;disponible;1;0;2025-08-19;941;63;27;10;3;52;0
1037;Stage gestion RH et paie - Talent (Sfax #1037);Rejoignez notre équipe en tant que stagiaire et participez à des projets concrets. Contexte: stage 2 semaines, basé à Sfax, sur une plateforme e-commerce. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: mettre à jour la base RH et les dossiers administratifs, participer à la mise en place d'un plan de formation, animer des actions de marque employeur (événements, contenu), sourcer des candidats et organiser des entretiens de présélection. Compétences attendues: Intérêt pour le recrutement, la formation et les processus. Capacité à gérer plusieurs sujets en parallèle. Cadre de travail: méthode Scrum, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1134 DT. Référence offre: TN-INT-1037. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;RH;Sfax;1134;2;disponible;1;1;2024-11-20;984;46;17;3;2;45;0
1038;Stage UI/UX designer applications mobiles - Figma / industrie / fintech (Tunis #1038);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 15 semaines, basé à Tunis, sur un tableau de bord KPI multi-sites. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: décliner une identité visuelle sur différents supports, réaliser des animations courtes pour vidéos et stories, collaborer avec les développeurs pour l'intégration. Compétences attendues: Maîtrise de Figma et des bases de la conception UI/UX. Sens du détail, typographie et cohérence visuelle. Cadre de travail: méthode Lean, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1311 DT. Référence offre: TN-INT-1038. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Design;Tunis;1311;15;disponible;1;1;2025-03-04;912;85;29;6;2;74;0
1039;Stage fiscalité et déclarations - PostgreSQL / santé (Tunis #1039);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 21 semaines, basé à Tunis, sur un projet client à livrer en itérations. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: aider à la préparation des déclarations et dossiers, analyser des indicateurs de rentabilité et coûts, automatiser des reportings sur Excel/Power BI. Compétences attendues: Power BI ou SQL est un plus. Capacité d'analyse et sens de la confidentialité. Cadre de travail: méthode Agile, échanges en français, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1614 DT. Référence offre: TN-INT-1039. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Finance;Tunis;1614;21;indisponible;1;1;2025-12-17;908;66;34;5;9;62;1
1040;Stage RH data & reporting - Talent / énergie (Remote #1040);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 5 semaines, basé à Remote, sur un tableau de bord KPI multi-sites. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: aider à la rédaction de procédures et supports internes, sourcer des candidats et organiser des entretiens de présélection, contribuer à la préparation de la paie (données variables). Compétences attendues: Aisance sur Excel et outils bureautiques. Intérêt pour le recrutement, la formation et les processus. Cadre de travail: méthode Kanban, échanges en français, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 937 DT. Référence offre: TN-INT-1040. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;RH;Remote;937;5;indisponible;1;1;2025-10-03;933;59;23;2;2;52;1
1041;Stage développeur Java Spring Boot - CI/CD / santé (Remote #1041);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 7 semaines, basé à Remote, sur un tableau de bord KPI multi-sites. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: analyser des données et produire des tableaux de bord, participer à la revue de code et à la documentation technique, contribuer à un module d'authentification et gestion des rôles. Compétences attendues: Bonne maîtrise de Python et des bases web (HTTP, REST). Une expérience avec Docker ou Linux est un plus. Cadre de travail: méthode Lean, échanges en français, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1284 DT. Référence offre: TN-INT-1041. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Informatique;Remote;1284;7;indisponible;0;1;2025-09-15;924;65;25;2;2;60;1
1042;Stage infographiste et mise en page - Figma (Ariana #1042);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 2 semaines, basé à Ariana, sur une application de gestion interne. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: préparer des assets pour le web et le print, décliner une identité visuelle sur différents supports, participer à une refonte de landing page orientée conversion. Compétences attendues: Capacité à itérer rapidement à partir de feedback. Sens du détail, typographie et cohérence visuelle. Cadre de travail: méthode design thinking, échanges en français, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1158 DT. Référence offre: TN-INT-1042. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Design;Ariana;1158;2;indisponible;0;1;2025-02-19;905;58;15;1;4;42;0
1043;Stage gestion RH et paie - Paie / énergie (Ariana #1043);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 19 semaines, basé à Ariana, sur un pilote d'automatisation de process. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: participer à la mise en place d'un plan de formation, assister les managers sur les besoins en recrutement, mettre à jour la base RH et les dossiers administratifs. Compétences attendues: Bon relationnel, organisation et discrétion. Aisance sur Excel et outils bureautiques. Cadre de travail: méthode Lean, échanges en anglais, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1289 DT. Référence offre: TN-INT-1043. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;RH;Ariana;1289;19;indisponible;0;1;2024-10-10;905;56;30;3;7;49;0
1044;Stage ingénieur IoT et capteurs - Docker / SaaS (Sfax #1044);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 10 semaines, basé à Sfax, sur un pilote d'automatisation de process. Vous travaillerez avec une équipe pluridisciplinaire (produit, technique, métier) et un tuteur dédié. Missions principales: travailler sur des automatismes et capteurs (schémas, tests), participer à un projet d'optimisation énergétique, modéliser des solutions sur logiciel CAO/DAO. Compétences attendues: Capacité à analyser des données de tests et à documenter. Bases solides en mécanique/électrique/industriel selon profil. Cadre de travail: méthode Scrum, échanges en anglais, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1657 DT. Référence offre: TN-INT-1044. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Ingénierie;Sfax;1657;10;disponible;1;1;2024-04-15;919;60;39;6;10;100;0
1045;Stage growth marketing - Retail / tourisme (Sfax #1045);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 8 semaines, basé à Sfax, sur un projet client à livrer en itérations. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: animer une communauté et gérer la relation avec les abonnés, mettre en place des workflows d'emailing et de nurturing, réaliser une étude de marché et des personas. Compétences attendues: Créativité, autonomie et esprit d'équipe. Connaissance des réseaux sociaux et des outils d'analyse. Cadre de travail: méthode Lean, échanges en anglais, et objectifs mesurables. Vous apprendrez à construire des messages, segmenter l'audience et interpréter les données de performance pour améliorer le ROI. Rémunération prévue: 1500 DT. Référence offre: TN-INT-1045. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Marketing;Sfax;1500;8;disponible;1;1;2025-02-25;919;55;21;4;4;54;0
1046;Stage ingénieur maintenance - Illustrator / retail (Bizerte #1046);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 15 semaines, basé à Bizerte, sur un module de réservation et paiement. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: contribuer à la maintenance préventive et corrective, suivre des essais, mesures et rédaction de rapports techniques, assister l'équipe production sur l'amélioration des process. Compétences attendues: CAO/DAO (SolidWorks/AutoCAD) est un plus. Bases solides en mécanique/électrique/industriel selon profil. Cadre de travail: méthode OKR, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1900 DT. Référence offre: TN-INT-1046. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;Ingénierie;Bizerte;1900;15;disponible;1;1;2024-09-05;931;66;44;14;9;71;1
1047;Stage e-commerce et marketplace - CRM (Ariana #1047);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 35 semaines, basé à Ariana, sur une application de gestion interne. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: prospecter des entreprises et qualifier des leads, réaliser des démonstrations produit avec l'équipe, préparer des offres commerciales et supports de vente. Compétences attendues: Bonne organisation et suivi (CRM). Sens de la négociation et orientation résultats. Cadre de travail: méthode Scrum, échanges en anglais, et objectifs mesurables. Vous développerez votre approche commerciale, du premier contact à la proposition, avec suivi dans un CRM. Rémunération prévue: 1282 DT. Référence offre: TN-INT-1047. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Commerce;Ariana;1282;35;disponible;1;0;2024-07-22;864;52;34;5;2;80;0
1048;Stage ingénieur énergie et efficacité - Figma / industrie (Tunis #1048);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 7 semaines, basé à Tunis, sur un outil de reporting décisionnel. Vous évoluerez dans une équipe structurée avec des rituels Agile et des objectifs clairs. Missions principales: participer à un projet d'optimisation énergétique, mettre en place des démarches qualité et plans de contrôle, assister l'équipe production sur l'amélioration des process. Compétences attendues: CAO/DAO (SolidWorks/AutoCAD) est un plus. Lecture de plans, rigueur et respect des consignes sécurité. Cadre de travail: méthode Agile, échanges en français, et objectifs mesurables. Vous participerez à la collecte de mesures, au respect des standards, et à la rédaction de notes techniques. Rémunération prévue: 1574 DT. Référence offre: TN-INT-1048. Ce stage peut déboucher sur une proposition de pré-embauche selon performance et besoins.;Ingénierie;Tunis;1574;7;disponible;1;1;2024-07-01;901;71;39;4;2;91;1
1049;Stage QA/Test automation - GCP / logistique (Bizerte #1049);Opportunité de stage au sein d'une structure en croissance, orientée résultats. Contexte: stage 12 semaines, basé à Bizerte, sur un pilote d'automatisation de process. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: mettre en place des pipelines CI/CD et des environnements Docker, analyser des données et produire des tableaux de bord, implémenter de nouvelles fonctionnalités sur une application web. Compétences attendues: Connaissance d'un framework (Django/FastAPI) et de SQL. Bonne maîtrise de Python et des bases web (HTTP, REST). Cadre de travail: méthode Scrum, échanges en anglais, et objectifs mesurables. Vous manipulerez des environnements de développement, des revues de code, et des tickets Jira/Trello selon l'organisation. Rémunération prévue: 1502 DT. Référence offre: TN-INT-1049. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Informatique;Bizerte;1502;12;disponible;0;1;2024-11-21;961;59;31;10;5;50;1
1050;Stage CRM & emailing - SaaS (Ariana #1050);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 6 semaines, basé à Ariana, sur un pilote d'automatisation de process. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: mettre en place des workflows d'emailing et de nurturing, animer une communauté et gérer la relation avec les abonnés, rédiger des articles SEO et optimiser les pages du site. Compétences attendues: Créativité, autonomie et esprit d'équipe. Notions de SEO/SEA et capacité à interpréter des KPIs. Cadre de travail: méthode Scrum, échanges en français, et objectifs mesurables. Vous apprendrez à construire des messages, segmenter l'audience et interpréter les données de performance pour améliorer le ROI. Rémunération prévue: 1122 DT. Référence offre: TN-INT-1050. Nous valorisons la curiosité, la rigueur et la capacité à apprendre rapidement.;Marketing;Ariana;1122;6;disponible;0;1;2025-07-17;913;42;13;2;3;32;0
1051;Stage motion designer vidéo et animation - Print / assurance / scale-up (Sfax #1051);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 4 semaines, basé à Sfax, sur un module de réservation et paiement. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: participer à une refonte de landing page orientée conversion, décliner une identité visuelle sur différents supports, préparer des assets pour le web et le print, créer des visuels pour les réseaux sociaux et campagnes. Compétences attendues: Capacité à itérer rapidement à partir de feedback. Sens du détail, typographie et cohérence visuelle. Cadre de travail: méthode Lean, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1007 DT. Référence offre: TN-INT-1051. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Design;Sfax;1007;4;indisponible;1;1;2024-02-19;973;84;24;3;3;54;0
1052;Stage contrôle de gestion et budgets - GitHub (Bizerte #1052);Dans le cadre de l'accélération de nos projets, nous recrutons un(e) stagiaire. Contexte: stage 16 semaines, basé à Bizerte, sur un pilote d'automatisation de process. Ambiance startup, cycles courts, et forte culture d'amélioration continue. Missions principales: contribuer à des missions d'audit et de contrôle interne, préparer des rapprochements bancaires et états financiers, assister à la clôture mensuelle et à la documentation, aider à la préparation des déclarations et dossiers. Compétences attendues: Bonne maîtrise d'Excel et rigueur sur les chiffres. Power BI ou SQL est un plus. Cadre de travail: méthode OKR, échanges en français, et objectifs mesurables. Vous contribuerez à fiabiliser les chiffres, documenter les hypothèses et produire des synthèses compréhensibles pour la direction. Rémunération prévue: 1500 DT. Référence offre: TN-INT-1052. Merci d'envoyer votre CV et, si possible, des exemples de travaux (portfolio, GitHub, etc.).;Finance;Bizerte;1500;16;disponible;1;1;2025-10-30;956;61;25;8;4;60;1
1053;Stage designer identité visuelle - 3D (Bizerte #1053);Nous recherchons un(e) stagiaire motivé(e) pour renforcer notre équipe. Contexte: stage 12 semaines, basé à Bizerte, sur un tableau de bord KPI multi-sites. Collaboration quotidienne avec les équipes locales et, selon le projet, des partenaires internationaux. Missions principales: concevoir des maquettes UI/UX (wireframes, prototypes), créer des visuels pour les réseaux sociaux et campagnes, produire un mini design system (typo, couleurs, composants), participer à une refonte de landing page orientée conversion. Compétences attendues: Sens du détail, typographie et cohérence visuelle. Maîtrise de Figma et des bases de la conception UI/UX. Cadre de travail: méthode design thinking, échanges en anglais, et objectifs mesurables. Vous travaillerez sur des versions successives de maquettes et livrables, avec tests rapides et itérations suite aux retours. Rémunération prévue: 1138 DT. Référence offre: TN-INT-1053. Vous gagnerez une expérience solide et directement valorisable sur le marché tunisien.;Design;Bizerte;1138;12;disponible;1;1;2025-03-04;1009;53;10;3;1;28;1
1054;Stage recrutement et sélection - Recrutement / énergie / fintech (Sfax #1054);Stage passionnant dans un environnement bienveillant et exigeant. Contexte: stage 6 semaines, basé à Sfax, sur un tableau de bord KPI multi-sites. Encadré(e) par un mentor, vous aurez une autonomie progressive et des feedbacks hebdomadaires. Missions principales: contribuer à la préparation de la paie (données variables), participer à la mise en place d'un plan de formation, suivre des indicateurs RH et produire des tableaux de bord. Compétences attendues: Intérêt pour le recrutement, la formation et les processus. Capacité à gérer plusieurs sujets en parallèle. Cadre de travail: méthode OKR, échanges en anglais, et objectifs mesurables. Vous serez sensibilisé(e) à la confidentialité, au suivi des processus et à l'expérience candidat/collaborateur. Rémunération prévue: 1031 DT. Référence offre: TN-INT-1054. Une attestation de stage et une lettre de recommandation peuvent être délivrées en fin de mission.;RH;Sfax;1031;6;disponible;0;1;2025-12-27;917;77;10;3;0;18;1
